country,region,city,country_slug,region_slug,city_slug,timezone,last_verified,source_title,source_url,complaint_channel,complaint_url,fine_range,notes_admin,service_type,schedule_pattern,request_url,eligible_items,not_accepted_items,limits,fees,holiday_shifts,illegal_dumping_reporting,notes_public
US,Arizona,Phoenix,united-states,arizona,phoenix,America/Phoenix,2025-10-16,"City of Phoenix - Bulk Trash Pickup",https://www.phoenix.gov/administration/departments/publicworks/residential-trash-recycling/bulk-trash-pickup.html,"myPHX311 portal; City of Phoenix 311 Info Center (602-262-3111); Public Works Customer Service (602-262-6251)",https://phxatyourservice.dynamics365portals.us/,Varies by violation,"Phoenix shifted to appointment-based bulk trash service in late 2024. Residents receive up to four appointments per year with a ten cubic yard limit. Details verified against Public Works bulk trash guidance and City Code requirements.",appointment,"Book online or by phone. Set items at the front curb no sooner than seven days before the confirmed date and by 5:30 a.m. on pickup day; do not place items in alleys. Maximum pile is 10 cubic yards kept within 5 feet of the curb and 5 feet from fixed objects. Cancel at least three business days ahead to avoid losing an appointment. The scheduler blocks Halloween, Thanksgiving, Christmas, and New Year's Day plus the seven days after each.",https://bulkscheduler.smartcity.routeware.com/city_of_phoenix,"Furniture such as sofas, tables, and mattresses|Small appliances without refrigerants such as microwaves|Toilets|Bagged grass, leaves, weeds, twigs, or hedge clippings|Tree trimmings cut to less than 12 inches in diameter and 4 feet long|Up to two wooden pallets","More than 10 cubic yards of material|Loose debris or loose yard waste|Household hazardous waste including antifreeze, pool chemicals, oils, batteries, and paint|Bagster bags or contractor bags containing debris|Bricks, concrete, dirt, rocks, asphalt, roofing shingles, or roofing tiles|Construction or demolition materials over 25 pounds or longer than 4 feet|Metal or automotive parts over 20 pounds or longer than 4 feet|Tires of any size|Glass items such as windows, shower doors, mirrors, or fluorescent tubes|Tree trunks or stumps over 4 feet or over 12 inches in diameter|Large appliances that contain refrigerants","City of Phoenix residential solid waste customers receive four appointments per year. One pile per appointment, maximum 10 cubic yards, placed within 5 feet of the curb and clear of obstacles. Yard waste must be securely bagged and limbs trimmed to less than 12 inches in diameter and 4 feet long. No combined piles between neighbors.","Included with regular residential solid waste service; there is no separate fee for the four yearly appointments.","No bulk appointments are scheduled on Halloween, Thanksgiving, Christmas, or New Year's Day; the scheduler also blocks the seven days following each holiday.",https://www.phoenix.gov/solid-waste/residential-trash/illegal-dumping,"Phoenix bulk trash is by appointment only. Schedule online or by phone, set items at the front curb within seven days of service, and keep piles within size and clearance limits. Bag loose yard waste, cut limbs to size, and exclude hazardous waste, glass, tires, concrete, and refrigerant appliances."
CA,Alberta,Edmonton,canada,alberta,edmonton,America/Edmonton,2025-10-16,"City of Edmonton - Waste & Recycling / Eco Stations & Waste Management",https://www.edmonton.ca/programs_services/garbage_waste,"Edmonton 311 - Waste Services",https://www.edmonton.ca/city_government/edmonton-311.aspx,Varies by bylaw violation,"City-wide solution for bulky item disposal; data from municipal programs.",dropoff,"Eco Stations open daily 8 am-6 pm; EWMC open normal disposal hours",https://www.edmonton.ca/programs_services/garbage_waste/eco-stations,"Furniture|Mattresses / box springs|Appliances (non-refrigerant)|Electronics|Scrap metal","Paint / hazardous waste (at Eco Stations; some accepted at EWMC/Hazardous facilities)|Tires [except in Big Bin events]|Yard waste mixed with bulky|Large industrial debris","Vehicles up to 1-ton or 3 m trailer at Eco Stations; larger loads via EWMC","Small bulky $11; large bulky $21; mattress/item surcharge $19; refrigerant appliance $21; other eligible items free; EWMC $72/tonne base","Facilities closed on statutory holidays; schedule shifts accordingly",https://www.edmonton.ca/city_government/edmonton-311.aspx,"Residents drop off bulky items at Eco Stations or EWMC; Big Bin events free in season."
CA,Ontario,Ottawa,canada,ontario,ottawa,America/Toronto,2025-10-16,City of Ottawa - Garbage (curbside) & Large/Bulky Items,https://ottawa.ca/en/garbage-and-recycling/garbage,City of Ottawa 3-1-1,https://ottawa.ca/311,Varies by violation,"Ottawa collects large household items curbside on garbage day; new three-item limit counts bulky as one item. Appliances are not collected curbside.",mixed,"Set out by 7:00 a.m. on your regular garbage day; bi-weekly garbage. Bulky items count toward the 3-item limit.",https://ottawa.ca/en/garbage-and-recycling/recycling/garbage-and-recycling-collection-calendar,"Furniture|Mattresses / box springs|Toilets and sinks (dismantled)","Appliances (any type)|Tires|Paint and household hazardous waste","Maximum 3 items per collection (includes bulky). Each container <=140 L and <=15 kg. Place items curbside by 7 a.m.","Curbside included in base service; drop-off fees apply at Trail Waste Facility by material or weight.","No collection on certain statutory holidays; collections shift to the next business day. Confirm via the city calendar.",https://ottawa.ca/en/3-1-1/report-or-request/garbage-and-recycling/report-illegal-dumping,"Put acceptable bulky items out with garbage on your collection day; appliances are NOT collected. For multi-unit buildings, coordinate through your property manager."
CA,Alberta,Calgary,canada,alberta,calgary,America/Edmonton,2025-10-16,"City of Calgary - How to dispose of large household items",https://www.calgary.ca/waste/what-goes-where/large-household-items.html,311 Calgary,https://www.calgary.ca/311.html,Varies by violation,"Calgary has no routine curbside bulk pickup. Residents use city landfills or Eco Centres or seasonal Community Cleanup events; HHW has separate depots.",dropoff,"Drop off during landfill and Eco Centre operating hours; Community Cleanup events run on select spring-fall weekends by neighbourhood.",https://www.calgary.ca/communities/community-cleanups.html,"Furniture|Mattresses / box springs|Appliances (including refrigerant units; surcharge applies)|Electronics (Eco Centres)","Household hazardous waste at landfills (use HHW drop-offs)|Loose liquids or chemicals|Unprepared mixed loads at Eco Centres","Landfill minimum charge applies for loads <250 kg; loads must be secured or tarped. Some items only accepted at Eco Centres or HHW sites.","Typical 2025 landfill rate $113/tonne; $25 minimum for <250 kg; refrigerant-removal surcharge for fridges and freezers. Some materials free at Eco Centres.","Landfills and Eco Centres operate on a statutory-holiday schedule; check the city's holiday hours page.",https://www.calgary.ca/bylaws/illegal-dumping.html,"Take bulky items to a city landfill or Eco Centre, or use Community Cleanup events when available. Check the HHW program for paint, chemicals, and similar items."
CA,British Columbia,Vancouver,canada,british-columbia,vancouver,America/Vancouver,2025-10-16,"City of Vancouver - Guide to residential waste disposal (Big items)",https://vancouver.ca/guides/waste-disposal.aspx,Van311,https://vancouver.ca/van311.aspx,"$100-$10,000 for illegal dumping (bylaw); other fines vary by violation","City does not run a routine curbside bulky-item program; residents are directed to drop-off facilities (Zero Waste Centre, South Transfer Station, Vancouver Landfill).",dropoff,"Drop off during facility hours: Zero Waste Centre Monday-Saturday 8 am-6 pm; Sunday 9 am-6 pm; most statutory holidays 9 am-5 pm; closed Christmas Day and New Year's Day.",https://vancouver.ca/home-property-development/zero-waste-centre.aspx,"Furniture|Mattresses / box springs (drop-off limit applies)|Appliances / white goods|Scrap metal and many recyclables","Household hazardous chemicals (use designated programs)|Asbestos and restricted drywall (special procedures)|Mixed loads containing banned recyclables","Mattress drop-off limited to 4 per customer per day (as of June 1, 2025). Disposal bans apply at Metro Vancouver facilities.","Fees apply at the South Transfer Station and Vancouver Landfill (for example, 2025 under-1-tonne garbage $175/tonne; generator levy included). Many items are free at the Zero Waste Centre.","Facility hours change on statutory holidays; curbside garbage and recycling schedules follow the city calendar and may shift, so confirm online.",https://vancouver.ca/home-property-development/abandoned-garbage-and-illegal-dumping.aspx,"Take big items to the Zero Waste Centre, South Transfer Station, or Vancouver Landfill. Check item-specific instructions in the Waste Wizard and review fees and limits before visiting."
US,Texas,Austin,united-states,texas,austin,America/Chicago,2025-10-16,"City of Austin - On-demand Bulk, Brush and Household Hazardous Waste Collection",https://www.austintexas.gov/service/ondemand,Austin 3-1-1,https://311.austintexas.gov/,Varies by violation,"As of January 2025, Austin Resource Recovery moved bulk, brush, and household hazardous waste services to on-demand scheduling. Each address can book up to three collections per year for each service; set-out time is 5:30 a.m.",appointment,"Up to three on-demand collections per calendar year per service; schedule via Austin Recycles app, online, or 311; set out by 5:30 a.m. on the appointment day.",https://www.austintexas.gov/service/ondemand,"Furniture|Appliances (doors removed)|Household carpet|Lawn mowers (drain gas and oil)|Nail-free lumber and pallets|Passenger car tires (no rims; limit 8)","Household trash and cardboard boxes|Brush or yard waste|Hazardous materials|Mirrors, sheet glass, or tile|Construction or remodeling debris|Boats, trailers, motorcycles, or tires on rims","Maximum of three appointments per year per service; set items out by 5:30 a.m.; keep three separate piles; up to eight passenger tires without rims.","Included in base Austin Resource Recovery service; extra-trash fees may apply if items are bagged as trash; tire fees apply at drop-off centers.","Collections may shift during holiday weeks; confirm through the My Schedule or Austin Recycles app.",https://www.austintexas.gov/page/illegal-dumping,"Book a bulk pickup through the Austin Recycles app, online, or by calling 3-1-1. Separate metal and rigid plastics from non-metal items and remove appliance doors."
US,Maryland,Baltimore,united-states,maryland,baltimore,America/New_York,2025-10-16,"Baltimore City DPW - Bulk Trash",https://publicworks.baltimorecity.gov/pw-bureaus/solid-waste/bulk,Baltimore 311,https://311services.baltimorecity.gov/,Varies by violation,"DPW provides monthly bulk collection by appointment with up to three items per month. Call 311 or use 311 Online at least three business days before the scheduled date.",appointment,"One bulk collection day per month per area; schedule via 311; set items where trash is normally collected and mark as bulk collection.",https://311services.baltimorecity.gov/,"Furniture|Appliances (white goods)|Up to four tires (rims removed)","Construction and demolition debris|Sheetrock, siding, wood pieces, or roofing|Loose building materials","Maximum of three items per appointment with one appointment per month; place items at the normal collection point and clearly label them for bulk pickup.","Free curbside bulk collection for residents; drop-off centers are available for additional materials.","DPW posts delays and holiday impacts on its Collection and Service Delay page; check for updates.",https://www.baltimorecity.gov/311,"Schedule bulk pickup through 311 and set no more than three items at your regular pickup location. Building materials are not collected via the bulk service."
US,Massachusetts,Boston,united-states,massachusetts,boston,America/New_York,2025-10-16,"City of Boston - Special Collection Items",https://www.boston.gov/departments/public-works/special-collection-items,BOS:311,https://www.boston.gov/departments/boston-311,Varies by violation,"Furniture can go out on the regular trash day without an appointment. Appliances or electronics with Freon or CRTs require a Special Item appointment. Mattresses and box springs require a separate mattress recycling appointment; curbside pickup is free for buildings with six units or fewer.",mixed,"Set furniture out by 6:00 a.m. on trash day; schedule special item and mattress pickups via BOS:311 with limits for each program.",https://www.boston.gov/departments/public-works/special-collection-items,"Furniture (no appointment; curbside on trash day)|Appliances and electronics with refrigerants or CRTs (by appointment)|Mattresses and box springs (by appointment)","Construction or demolition debris|Household hazardous waste|Commercial-grade items","Special Item collection is limited to 10 items per calendar year with a maximum of five per appointment. Mattress curbside recycling is limited to 10 items per year for eligible buildings with one to six units.","Included in base service; curbside mattress pickup is free for eligible addresses with six units or fewer.","Collections may be delayed during holiday weeks; confirm using the Trash Day app or holiday notices.",https://www.boston.gov/departments/boston-311,"Put furniture out by 6 a.m. on your regular trash day. Schedule BOS:311 appointments for appliances, electronics with refrigerants, and for mattress recycling."
US,North Carolina,Charlotte,united-states,north-carolina,charlotte,America/New_York,2025-10-16,"Trash and Recycling - City of Charlotte",https://www.charlottenc.gov/Services/Trash-and-Recycling,"CharMeck 311 (phone 311 or 704-336-7600), online portal, or CLT+ app",https://www.charlottenc.gov/Help311,Not specified,"Primary references include the City of Charlotte Collection Guidelines, Bulky Item Eligibility, and Solid Waste Services Administrative Policy (December 1, 2023). Verify the holiday list annually on the Trash and Recycling page; rules apply to addresses that receive city garbage service.",appointment,"Schedule via CLT+ or 311. Set items at the curb by 6:00 a.m. on the confirmed pickup day and not earlier than the day before; unscheduled items will not be collected.",https://servicerequest.charlottenc.gov/service/BULKITEM,"Household furnishings such as sofas, tables, and dressers (empty drawers)|Mattresses and box springs|Appliances and white goods (doors removed and emptied)|Electronics including TVs, computers, and monitors|Lawn equipment with fuel and batteries removed|Carpet, rugs, linoleum, or padding (rolled and cut per guidelines)|Doors, windows, mirrors, and glass (tape glass in an X)|Lumber, boards, pallets, and wood (nails removed and flattened)|Toilets that are empty and clean|Large toys, bikes, grills without propane tanks, and small heavy items under 75 lb|Up to eight passenger-vehicle tires with rims removed|Select metals and small appliances per eligibility list","Construction and demolition debris such as drywall, siding, roofing, insulation, plaster, or compound|Concrete, bricks, cinderblocks, rocks, sand, or dirt|Materials from commercial contractors|Auto parts, motors, batteries, or tires on rims|Central HVAC or furnace units|Pressurized, propane, oxygen, or helium tanks|Fire extinguishers|Hazardous waste including wet paint, solvents, or liquids|Railroad ties, chain-link fencing, or glass blocks|Shopping carts or grocery carts|Yard waste or plant material|Large boat, camper, or motorcycle parts|Utility trailers or tree stumps","Service is available only to addresses receiving city garbage service. Items must generally weigh 75 lb or less and meet size and preparation rules. Place items by 6:00 a.m. on the scheduled day, keep three feet of clearance from carts, mailboxes, and vehicles, and schedule changes by noon the prior business day.","No additional fee for eligible residential customers; self-haul options at Mecklenburg County full-service centers may have separate disposal fees.","Collections occur on all holidays except Martin Luther King Jr. Day, Juneteenth, Thanksgiving, and Christmas. During those weeks all routes operate one day late, with Friday routes collected on Saturday.",https://wipeoutwaste.mecknc.gov/community/swatalitterbug,"Bulky items must be scheduled. Set them out by 6 a.m. on your confirmed day, keep about three feet of clearance, and prepare items per city rules including removing doors, draining fuel, rolling carpet, and taping glass."
US,Washington,Seattle,united-states,washington,seattle,America/Los_Angeles,2025-10-16,"Seattle Public Utilities - Special Item Collections (bulky item pickup)",https://www.seattle.gov/utilities/your-services/collection-and-disposal/recycling/special-item-collections,"Report missed bulky or special-item pickup online or call SPU Customer Service at (206) 684-3000.",https://www.seattle.gov/utilities/your-services/collection-and-disposal/your-collection-day/report-missed-collection,"Illegal dumping penalties range from $100 for a first notice of violation up to $1,500 plus cleanup costs, with additional criminal restitution of $50 to $100 per cubic foot depending on volume.","Program name on the SPU site is Special Item Collections. Fees and limits follow SPU guidance; scheduling and next-day rules come from the request portal. Holiday shift notes reflect SPU At Your Service posts. Illegal dumping reporting is based on the SPU Clean City program.",appointment,"Schedule online or by phone; items are collected on the next regular garbage day after SPU confirms the request. Set out by 7:00 a.m. at the normal collection location on a flat, accessible surface.",https://www.seattle.gov/utilities/your-services/collection-and-disposal/recycling/special-item-collections/collection-request,"Large furniture such as sofas, tables, chairs, dressers, and cabinets|Large appliances including stoves, dishwashers, dryers, washers, trash compactors, and air conditioners|Refrigerators and freezers containing CFCs (accepted with surcharge)|Mattresses and box springs|Televisions within size and weight limits|Electronics and small appliances such as monitors, CPUs, laptops, tablets, and cell phones|Household batteries bagged per SPU limits|Compact fluorescent lightbulbs bagged per SPU limits|Styrofoam blocks bagged per SPU limits|Small propane canisters under one pound|Special Items box for multiple small items up to two feet by two feet by two feet and 60 lb","Household hazardous waste such as oil-based paint, solvents, or pesticides|Large propane tanks or pressurized cylinders over one pound|Construction and demolition debris including concrete, bricks, drywall, or lumber|Dirt, rocks, or loose yard waste|Medical waste, sharps, or other biohazards|Explosives, ammunition, or radioactive materials|Items exceeding program size or weight limits (over 300 lb or longer than eight feet)|Electronics over 60 lb or larger than two feet by two feet by two feet for the small-item category|Items set only on stairs or in locked or inaccessible areas","Appliances and furniture may weigh up to 300 lb and be up to eight feet long or four feet in diameter. Electronics and small items must fit in a box two feet by two feet by two feet and weigh 60 lb or less. Battery, CFL, foam, propane, and special item limits apply per SPU guidelines. Set items out by 7:00 a.m. on a flat, accessible surface.","Foam blocks and used cooking or motor oil are collected at no cost. Battery, CFL, foam, and small propane pickups are billed at $5 per item type; special item boxes cost $20; large furniture, appliances, and large TVs cost $30 each; CFC appliances cost $38 each. Eligible Utility Discount Program customers can receive up to two free pickups per year when scheduling by phone.","No collection on Thanksgiving Day, Christmas Day, or New Year's Day; service for affected days runs one day late for the rest of the week.",https://www.seattle.gov/utilities/protecting-our-environment/seattle-clean-city/illegal-dumping,"Schedule bulky or special-item pickup online or by calling (206) 684-3000. After SPU confirms, place items out by 7 a.m. on your next regular garbage day at your normal set-out location. Fees vary by item and are billed to your SPU account."
